"scenario","region","Units","agg_tech","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Oil w/o CCS",1.67011236931442,1.26167292422538,0.951005462216619,0.348030504728241,0.38887835225398,0.537051788074014,0.321167899536189,0.138846673062998,0.0124703718069142,0.024639258052212,0.0134166556074295,0,0,0,0,0,0
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Gas w/o CCS",0.0821766209369328,0.0513858427455431,0.0536809725195592,0.0386891193921217,0.0354008867860967,0.0401340175164299,0.040765854856759,0.0336874144758209,0.0238346515292244,0.00611962697490734,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Gas w/ CCS",NA,0.0719992823827992,0.116713505241392,0.271408233746331,0.579668295560386,1.04161957371443,1.58604441404928,2.40858492660952,3.4298561021323,4.61391608368809,5.6006892798449,6.16456725149178,6.42614715641755,7.12355215783259,8.98902790354491,11.5230707333984,14.3846379490729
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Coal w/o CCS",0.389601114359044,0.328993643643768,0.298415827076957,0.147600777370901,0.0522564501489209,0.0195808020976662,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Coal w/ CCS",NA,0.0101193830155822,0.0249475463784578,0.140472421524897,0.5118313123539,1.11275789142872,1.83325389657858,2.78721969558519,3.75048229081092,4.65386556682564,4.99318607760271,4.72116216601357,3.98408877867652,3.64563184219372,6.21194759865,7.69457323201789,10.0709707819768
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Biomass w/o CCS",0.341851871203735,0.484767926126018,0.682681662085641,0.862875893310905,0.540979217333826,0.288996426735858,0.0887259671610684,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Biomass w/ CCS",NA,0.0739575519135991,0.182086679096879,1.01098507636883,3.9066204273225,8.85776074021085,15.5071219608452,26.4403530616871,40.4091754227028,58.1378530665897,70.0198864834403,70.9806753796358,66.5511583316983,65.6471437134269,77.2711440604132,74.7512181281064,74.674431613943
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Nuclear",0.148017583463687,1.19729533495495,2.55264417460828,5.87348276915743,11.0821382585445,18.6803164843882,26.5586723987742,35.1588198072804,45.5199333773766,57.6313246300276,69.7471037702572,75.26240482319,77.6310037189369,80.9935223114296,82.1219036602244,91.1372961057791,94.7736232321704
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Wind",4.8099171916378,7.73985784489163,11.495583139226,17.4519148585347,27.1659616692616,38.7874229009825,47.7993067311394,60.7207631036285,75.5079298813393,91.9196033062557,107.273268829887,113.058952758546,113.842265935151,116.132013072134,116.219816921698,127.371386302542,131.197194128818
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Solar",5.96833984977688,10.1532260485952,15.7151923613298,24.7454941299529,40.2615794371835,60.3174315842197,77.6079351881882,103.992118201723,135.545690771041,172.914566523622,212.208989718093,232.159342598184,241.053656526357,252.528641044143,256.666699310737,285.862277781854,297.930564828348
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Geothermal",1.51431442090112,1.80405136636376,2.01195879495474,2.70581192952809,1.76083798234052,1.09441575770794,0.980523188878449,0.897242039868817,0.725130545485397,0.679898729423083,0.454724690786154,0.364380016894328,0.323017997849316,0.323611601532777,0.31440078062316,0.311398896547953,0.25239249339657
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Eastern","billion 2010 USD","Rooftop_pv",2.03545563582093,5.59358253580504,12.7142558419897,28.3734826500434,56.434175755939,98.5944501984101,158.661612999249,230.990666517656,290.851930005507,310.866970165434,317.911217102067,323.313749211226,328.005876217493,332.320331860165,336.721940313618,340.985370729042,344.847507285855
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Northern","billion 2010 USD","Oil w/o CCS",4.38619405055883,3.52571457870024,2.45439973945121,0.819966967550951,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Northern","billion 2010 USD","Gas w/o CCS",4.61877669334271,2.4276984746501,2.31807067421546,1.80412514561019,1.07844774551761,0.502610404717604,0.158641403922687,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Northern","billion 2010 USD","Gas w/ CCS",NA,6.65937544908701,9.84676457895808,20.3840539625496,27.8112748372985,27.4084191114245,24.2613913844015,22.7693285970016,23.1423021691988,23.5768673909315,23.4908885575865,20.7932049051429,19.8391450302929,19.2805864962892,21.0677138395806,21.8698062612363,22.0048894746863
"NDC_Fulltech_land10p_hydro_CI_GFDL","Africa_Northern","billion 2010 USD","Coal w/o CCS",1.03276926347283,0.977561887783202,0.811775638623081,0.266660785835094,0.105459332297933,0,0,0,0,0,0,0,0,0,0,0,4.23571578099848e-06
